Date,Price,Open,High,Low,Vol,Change%
18/11/2021,56963,60354.57,60945,56555,657561297.6,-2.05%
19/11/2021,58130,56929,58379,55653,301052600.7,-2.81%
20/11/2021,59766,58122,59886,57450,187216493.6,1.80%
21/11/2021,58691,59774,60050,58603,143295253.3,4.11%
22/11/2021,56281.06,58702,59456,55714,497032622.5,-2.30%
23/11/2021,57577,56282,57869,55453,492657730.7,0.71%
24/11/2021,57166,57579.62,57762,55894.52,279810655,-3.24%
25/11/2021,59015.78,57159,59423.43,57067,234940668,8.77%
26/11/2021,53839,59017.11,59238,53555,656433044.5,-1.77%
27/11/2021,54791,53825,55329,53711,169603049.2,-4.68%
28/11/2021,57356,54781,57469,53458,283089615.6,-0.84%
29/11/2021,57840,57329,58888,56764,293082979,1.51%
30/11/2021,56966,57841,59174,55899,368857962.7,-0.48%
2001/12/21,57240,56988.83,59055,56505,296573382.5,1.26%
2002/12/21,56517,57239,57390,55842,249079335.4,5.01%
2003/12/21,53687,56520,57599,51333,576135836.1,8.27%
2004/12/21,49249,53667,53879,41634,1111884408,-0.46%
2005/12/21,49474,49243,49769,47860,236560725.8,-2.10%
2006/12/21,50513,49475.49,50988,47167,406483509.9,-0.24%
2007/12/21,50634,50504.57,51970,50095,197782671.3,0.26%
2008/12/21,50503.43,50641,51275,48726,203766252.1,5.73%
2009/12/21,47610.11,50506,50844,47408,252540320.5,0.84%
2010/12/21,47208,47598,50212,47051,385703687.4,-4.70%
2011/12/21,49426,47195,49522,46872,261465555.3,-1.41%
2012/12/21,50123,49427,50800,48690,194029027.7,6.73%
13/12/2021,46748.99,50116.78,50234,45788,407577302.2,-3.53%
14/12/2021,48399,46757.8,48684,46356.21,265029063.9,-1.04%
15/12/2021,48901,48392,49520,46600,344032694.3,2.53%
16/12/2021,47665,48901.83,49480,47543,168076224.6,3.11%
17/12/2021,46180.73,47659,48038,45539,270395837.4,-1.50%
18/12/2021,46873,46163,47483,45523,175352411.1,0.36%
19/12/2021,46704,46869.79,48364,46458,244546599,-0.42%
20/12/2021,46901,46698,47541,45600,265153910.2,-4.31%
21/12/2021,48923,46915,49369,46683,230580251.6,0.61%
22/12/2021,48626,48926.48,49588,48459.75,152816860.7,-4.54%
23/12/2021,50833,48625,51413.12,48078,225269220.3,0.01%
24/12/2021,50830,50834,51842,50405,131918410.2,0.78%
25/12/2021,50435.24,50830,51171,50182,100374317.6,-0.72%
26/12/2021,50797,50435.07,51300,49433,147518338.9,0.21%
27/12/2021,50690,50805,52085,50482.47,178365794.6,6.18%
28/12/2021,47556,50713.71,50714,47321,258291251.7,2.29%
29/12/2021,46465,47556,48166,46079,191620483,-1.49%
30/12/2021,47156,46464,47911,45947,150796169.1,1.99%
31/12/2021,46218,47148,48650,45664.14,196538079.6,-3.31%
2001/1/22,47747,46209,47957,46203,103961332.2,0.93%
2002/1/22,47302,47746,48012,46648,87259964.83,1.81%
2003/1/22,46448,47304.24,47578,45689,119740625.8,1.32%
2004/1/22,45834,46449.62,47671.86,45568,173639925,5.19%
2005/1/22,43455,45830,47058,42505,301235688.8,0.81%
2006/1/22,43103.47,43457,43781,42412,146771716.7,3.61%
2007/1/22,41548,43101.36,43135.77,40586,307629482.3,-0.32%
2008/1/22,41682,41555.42,42319.83,40556,172815070.8,-0.42%
2009/1/22,41856,41687.21,42801,41240,155598886.2,0.02%
2010/1/22,41847,41861,42270,39672.88,399779596.1,-2.14%
2011/1/22,42741.75,41839,43119.2,41265,204614301.9,-2.73%
2012/1/22,43909,42744,44315,42468,165525257.7,3.02%
13/01/2022,42583,43909,44445,42334,159317414.3,-1.19%
14/01/2022,43091,42585,43468,41736,185934390.2,0.05%
15/01/2022,43069,43090,43816,42575,137627302.7,-0.03%
16/01/2022,43084,43074,43487.39,42603,68163742.11,2.00%
