Date,Price,Open,High,Low,Vol
16/08/2021,415.83,414.4,437.92,411.35,1384504597
17/08/2021,402.07,415.84,436.37,398.66,1491592090
18/08/2021,396.21,402.12,412.48,384.92,1227379299
19/08/2021,431.51,396.31,432.3,391,1252913562
20/08/2021,455.29,431.51,458.83,422.03,1226095577
21/08/2021,449.25,455.3,460.89,445,1120445453
22/08/2021,449.22,449.26,459,438.1,847161971.9
23/08/2021,499.18,449.21,510.75,447.23,2697018873
24/08/2021,472.23,499.19,505.23,461,1805189098
25/08/2021,503.49,472.22,507.76,470.02,1957951630
26/08/2021,478.14,503.49,519.82,471,2184940878
27/08/2021,494.95,478.24,496.97,467.2,1488353017
28/08/2021,486.61,495.04,497.56,482.79,739006873.1
29/08/2021,480.06,486.61,496.4,476.11,871469638.8
30/08/2021,460.29,480.04,481.6,457.16,1001075441
31/08/2021,464.44,460.28,477.85,451.84,1233219943
1/9/21,489.5,464.48,490.73,455.64,1237587901
2/9/21,484.08,489.5,505.44,478,1299090124
3/9/21,488.78,484.07,495.05,473,1032614671
4/9/21,498.42,488.82,511.04,485.55,1432676577
5/9/21,505.71,498.47,506.53,488.87,1002442721
6/9/21,496.29,505.7,510.55,487,1115427375
7/9/21,418.7,496.3,505.88,332.95,2803786486
8/9/21,414.84,418.68,425.32,381.8,1413375176
9/9/21,421.41,414.83,436.64,403.73,1031981045
10/9/21,401.38,421.41,439.86,393.24,995586071.7
11/9/21,404.81,401.38,415.25,399.55,546362090.4
12/9/21,416.43,404.9,421.67,397.49,594253819
13/09/2021,399.1,416.54,419.75,381.36,934143190.1
14/09/2021,414.28,399.05,414.56,395.84,578172011.2
15/09/2021,431.28,414.3,436.69,410.14,797733346.2
16/09/2021,424.49,431.28,433.41,416,707294454
17/09/2021,407.14,424.48,426.25,400,598246786.8
18/09/2021,410.75,407.15,420.39,401.8,422895171.1
19/09/2021,408.74,410.75,419.3,403.17,509034566.4
20/09/2021,364.15,408.77,409.99,353.42,1285139448
21/09/2021,344.26,364.2,375.52,335.72,1008145433
22/09/2021,378.82,344.33,379.66,341.89,629500209
23/09/2021,383.36,378.83,384.45,369,537898068.2
24/09/2021,354.98,383.31,385,333.3,929185260.2
25/09/2021,349.39,354.94,360.73,343.35,517025134
26/09/2021,343.93,349.38,352.54,319.05,895108547.7
27/09/2021,335.03,343.91,357.69,334.63,546136926.8
28/09/2021,332.87,334.99,344.46,329.49,498668828
29/09/2021,366.68,332.86,374.98,331.16,1155275654
30/09/2021,386.87,366.68,388.53,365.2,883863371.8
1/10/21,421.19,386.9,422.99,380.88,1111445766
2/10/21,426.63,421.25,438.14,410.53,786504065.3
3/10/21,430.1,426.64,436.99,421.26,641907191.8
4/10/21,426.22,430.11,430.38,410.31,736840252
